origin_country,origin_agency,destination_country,persons,period_start,period_end,instrument,instrument_measures,covers_australia,source_tier,source_url,source_retrieved_at
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",United Kingdom (UK),12238,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Lebanon,12209,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Portugal,11935,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Iraq,11408,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Brunei,9855,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Russian Federation,8682,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Romania,8505,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Serbia,8084,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Cyprus,7921,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",South Korea,7881,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Laos,7262,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Fiji,6463,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Croatia,5991,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Congo,5551,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Japan,4755,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Belarus,3482,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Seychelles,3267,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Brazil,2765,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",North Macedonia (formerly Macedonia),2654,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Vietnam,2517,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Mauritius,2506,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Malta,2173,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Mongolia,1901,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Greece,1828,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Libya,1278,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Bulgaria,1201,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Poland,1160,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Kosovo,1058,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Canada,1053,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Mozambique,1040,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Hong Kong,896,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Moldova,870,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Hungary,869,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Palau,847,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Slovenia,829,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Uzbekistan,825,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Papua New Guinea,814,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Bosnia and Herzegovina,683,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",New Zealand,633,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Somalia,618,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",South Africa,611,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Azerbaijan,577,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Algeria,549,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Albania,468,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",China,463,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Lithuania,423,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Sri Lanka,397,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Sudan,376,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Ivory Coast,282,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
Bangladesh,"Bureau of Manpower, Employment and Training (Overseas Employment Platform)",Finland,205,2023-06-04,2026-08-26,Overseas employment clearance,"Workers cleared to depart under a vetted foreign employment contract. Excludes students, skilled independent migrants, family migration and anyone travelling without a cleared labour contract.",yes,primary,https://www.oep.gov.bd/reports/country-clearance?draw=1&start=0&length=300&approval_date_from=2023-06-04&approval_date_to=2026-08-26&all_skills=0,2026-08-26T10:57:49.480Z
